domain,type,original_reference
*lastmeasure.zoy.org,attackpage,safebrowsing.clients.google.com
*leslascarsgays.fr,attackpage,safebrowsing.clients.google.com
*link2me.ru,attackpage,safebrowsing.clients.google.com
*lpmxp2017.com,attackpage,safebrowsing.clients.google.com
*lpmxp2018.com,attackpage,safebrowsing.clients.google.com
*lpmxp2020.com,attackpage,safebrowsing.clients.google.com
*lpmxp2022.com,attackpage,safebrowsing.clients.google.com
*lpmxp2023.com,attackpage,safebrowsing.clients.google.com
*lpmxp2024.com,attackpage,safebrowsing.clients.google.com
*lpmxp2025.com,attackpage,safebrowsing.clients.google.com
*lpmxp2026.com,attackpage,safebrowsing.clients.google.com
*lpmxp2027.com,attackpage,safebrowsing.clients.google.com
*malayalam-net.com,malicious,safebrowsing.clients.google.com
*baolinyouxipingtai.com,attackpage,safebrowsing.clients.google.com
*dwcreations.net,attackpage,safebrowsing.clients.google.com
*faithbibleweb.org,attackpage,safebrowsing.clients.google.com
*hz-lf.com,attackpage,safebrowsing.clients.google.com
*kittrellglass.com,attackpage,safebrowsing.clients.google.com
*profileawareness.com,attackpage,safebrowsing.clients.google.com
*spunkyvids.com,attackpage,safebrowsing.clients.google.com
*t2t2.com,attackpage,safebrowsing.clients.google.com
*thxhb.com,attackpage,safebrowsing.clients.google.com
*watermanwebs.com,attackpage,safebrowsing.clients.google.com
*xigushan.com,attackpage,safebrowsing.clients.google.com
*xigushan.net,attackpage,safebrowsing.clients.google.com
*yueqi360.com,attackpage,safebrowsing.clients.google.com
*zzshw.net,attackpage,safebrowsing.clients.google.com
*pozdrav-im.ru,attackpage,safebrowsing.clients.google.com
*vstart.net,attackpage,safebrowsing.google.com
*2666120.com,malicious,www.mwsl.org.cn/
*332gm.com,malicious,www.mwsl.org.cn/
*33nn.com,malicious,www.mwsl.org.cn/
*54te.com,malicious,www.mwsl.org.cn/
*81182479.com,malicious,www.mwsl.org.cn/
*china-zhenao.com,malicious,www.mwsl.org.cn/
*concerone.com,malicious,www.mwsl.org.cn/
*hotslotpot.cn,attackpage,safebrowsing.clients.google.com
*indianemarket.in,malicious,www.virustotal.com
*morenewmedia.com,attackpage,safebrowsing.clients.google.com
*nationalsecuritydirect.com,attackpage,safebrowsing.clients.google.com
*smartmediasearcher.com,attackpage,safebrowsing.clients.google.com
*sportsbettingaustralia.com,attackpage,safebrowsing.clients.google.com
*ytx360.com,malicious,www.mwsl.org.cn/
*adserver.ads.com.ph,malicious,hosts-file.net/
*corsa-cologne.de,malicious,hosts-file.net/
*downloadthesefile.com,attackpage,safebrowsing.google.com
*evodownload.com,attackpage,safebrowsing.google.com
*fejsbuk.com.ba,malicious,hosts-file.net/
*guidelineservices.com.qa,malicious,hosts-file.net/
*hashmi.webdesigning.name,malicious,hosts-file.net/
*ivavitavoratavit.com,attackpage,safebrowsing.google.com
*robert-millan.de,malicious,hosts-file.net/
*swattradingco.name.qa,malicious,hosts-file.net/
*webdesigning.name,malicious,hosts-file.net/
*akshatadesigns.in,attackpage,safebrowsing.google.com
*alex2006.friko.pl,attackpage,safebrowsing.google.com
*crxart.go.ro,attackpage,safebrowsing.google.com
*drewex.slask.pl,attackpage,safebrowsing.google.com
*hosttrakker.info,attackpage,safebrowsing.google.com
*js.5689.nl,attackpage,safebrowsing.google.com
*ltktourssafaris.com,phishing,openphish.com
*pascani.md,attackpage,safebrowsing.google.com
*s-parta.za.pl,attackpage,safebrowsing.google.com
*selak.info,attackpage,safebrowsing.google.com
*sorclan.za.pl,attackpage,safebrowsing.google.com
*v2mlyellow.com,attackpage,safebrowsing.google.com
*wtr1.ru,attackpage,safebrowsing.google.com
*www1.xise.cn,attackpage,safebrowsing.google.com
*topmailersblog.com,phishing,openphish.com
*virus-help.us,phishing,openphish.com
*winner.us,phishing,openphish.com
*5a8www.peoplepaxy.com,malicious,www.mwsl.org.cn/
*abc.yuedea.com,malicious,www.mwsl.org.cn/
*amino-cn.com,malicious,www.mwsl.org.cn/
*b9a.net,malicious,www.mwsl.org.cn/
